centre_name,official_name,address,neighbourhood,curriculum,religious_orientation,language_medium,scale,fee_fullday_raw,verification_note,enrichment_date
Tinka Kindergarten,Tinka Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:09:58
Tadika Seri Matahari,Tadika Seri Matahari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Bukit Jelutong zone, Tadika center type)",No address provided,2026-04-02 14:10:05
Cubs Education Group,Cubs Education Group,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:12
Ace Arrows Kindergarten (Tadika Panah Cemerlang),Ace Arrows Kindergarten (Tadika Panah Cemerlang),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:19
Mahir Dhuha International Islamic Preschool -,Mahir Dhuha International Islamic Preschool -,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:10:27
Tadika Little Oak Tree,Tadika Little Oak Tree,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Bukit Jelutong zone, Montessori curriculum)",No address provided,2026-04-02 14:10:37
Ace Arrows Kindergarten,Ace Arrows Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:10:45
Alimkids,Alimkids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:52
Pusat Bandar Puchong Kindergarten,Pusat Bandar Puchong Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:10:58
Keedsflix Preschool,Keedsflix Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:11:06
Tadika J&J,Tadika J&J,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Bukit Jelutong zone, small center type)",No address provided,2026-04-02 14:11:13
Real Kids,Real Kids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:11:21
Bahtera Multiple Intelligence Preschool -,Bahtera Multiple Intelligence Preschool -,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:11:28
Tadika Brainy House,Tadika Brainy House,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:11:36
Bahtera Multiple Intelligence Preschool & Childcare Centre,Bahtera Multiple Intelligence Preschool & Childcare Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:11:43
Taska Little Sujood,Taska Little Sujood,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:11:52
Pusat Jagaan Setia Meru,Pusat Jagaan Setia Meru,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 300 per month,No address provided,2026-04-02 14:11:59
Pusat Jagaan,Pusat Jagaan,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:12:09
Pusat Jagaan Pelangi Indah X 75,Pusat Jagaan Pelangi Indah X 75,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:12:18
Pusat Jagaan Setia Ceria,Pusat Jagaan Setia Ceria,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:12:27
Tadika Setia Meru,Tadika Setia Meru,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (based on Setia Alam zone and center type),No address provided,2026-04-02 14:12:36
Kizzu Kids,Kizzu Kids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] KEMAS,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:12:45
Tadika Kiddie Cloud,Tadika Kiddie Cloud,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:12:54
Tadika Kanak Kanak Ceria,Tadika Kanak Kanak Ceria,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Setia Alam is a residential area with many family-friendly amenities, suggesting a smaller scale and lower fees)",No address provided,2026-04-02 14:13:02
Tadika Al Baghdadi (Tab),Tadika Al Baghdadi (Tab),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:13:11
Tadika Ding Dong Bell,Tadika Ding Dong Bell,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:13:19
Kiddy Hive Early Learning Centre,Kiddy Hive Early Learning Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:13:27
Tadika Kasih Setia,Tadika Kasih Setia,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:13:35
Kidstime  Playschool & Preschool,Kidstime  Playschool & Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:13:44
Taska Fantasia Alam,Taska Fantasia Alam,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:13:50
Tadika Kawan,Tadika Kawan,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:13:57
Taska Nurin,Taska Nurin,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:14:04
Eduwis Preschool,Eduwis Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:14:13
The Children's House Montessori,The Children's House Montessori,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] English,[Inferred] Small,"[Inferred] RM 800 - RM 1,200",No address provided,2026-04-02 14:14:21
Tadika San Lorenzo,Tadika San Lorenzo,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:14:29
Tadika Primrose Hill,Tadika Primrose Hill,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Zone U8 Shah Alam, Center type: Tadika)",No address provided,2026-04-02 14:14:37
Genius Kids Preschool,Genius Kids Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:14:45
Genius Kids' Land Preschool,Genius Kids' Land Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:14:55
My Little Preschool,My Little Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:03
Real Kids Setia,Real Kids Setia,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:11
Taska Dawid & Amra (),Taska Dawid & Amra (),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM [Inferred] - RM [Inferred],No address provided,2026-04-02 14:15:19
Mighty Minds Childcare,Mighty Minds Childcare,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:26
Little Caliphs Playschool Taska,Little Caliphs Playschool Taska,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:32
Tadika Damai Perdana,Tadika Damai Perdana,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (Denai Alam zone suggests moderate fees),No address provided,2026-04-02 14:15:39
Tadika Kidz Palace,Tadika Kidz Palace,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:47
Bright Kids Kindergarten,Bright Kids Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:15:54
Tadika Rafflesia Ismart U16,Tadika Rafflesia Ismart U16,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:16:00
Hi Flyers Childcare,Hi Flyers Childcare,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:16:08
Tadika Cari Seni,Tadika Cari Seni,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (Denai Alam zone is known for smaller centers),No address provided,2026-04-02 14:16:15
Taska & Pusat Jagaan Permata Iq,Taska & Pusat Jagaan Permata Iq,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:16:23
Anak2U,Anak2U,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:16:29
Little Bear Preschool,Little Bear Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:16:37
Pusat Jagaan Funkids,Pusat Jagaan Funkids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:16:45
Al-Kasa Educate Centre,Al-Kasa Educate Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:16:54
Dwi Emas International School (Early Years),Dwi Emas International School (Early Years),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Zone: Seksyen U8 Shah Alam, Center Type: International School)",No address provided,2026-04-02 14:17:03
- Tadika Arif Minda,- Tadika Arif Minda,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:17:11
Tadika Arif Minda,Tadika Arif Minda,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (Zone U8 Shah Alam, Center Type: Tadika)",No address provided,2026-04-02 14:17:19
Love & Laugh Infant Care And Preschool (),Love & Laugh Infant Care And Preschool (),[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 800 - RM 1,200 [Inferred]",No address provided,2026-04-02 14:17:27
Tadika Kinderland,Tadika Kinderland,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:17:34
Kinderland @ Tadika,Kinderland @ Tadika,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"[Inferred] RM 800 - RM 1,200",No address provided,2026-04-02 14:17:41
Islamic Preschool & Playschool,Islamic Preschool & Playschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic Preschool & Playschool suggests an Islamic curriculum type.,[Inferred] The name 'Islamic' strongly indicates a religious orientation towards Islam.,"[Inferred] Given the Malaysian context, it is likely that Bahasa Malaysia is the primary language medium.",[Inferred] Denai Alam (U16) zone suggests a Medium scale center.,[Inferred] $150-$300 per month for a full-day program in a Medium-scale Islamic Preschool & Playschool in Denai Alam.,No address provided,2026-04-02 14:17:50
Kinderland,Kinderland,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:17:59
Real Kids 2,Real Kids 2,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 250 per month,No address provided,2026-04-02 14:18:07
Tiny Tree House Preschool,Tiny Tree House Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:18:14
Puncak Alam Kindergarten,Puncak Alam Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:18:22
Tadika Kinderhive Green,Tadika Kinderhive Green,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"[Inferred] RM 800 - RM 1,200",No address provided,2026-04-02 14:18:29
Q-Dees West,Q-Dees West,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:18:37
Bright Kids,Bright Kids,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:18:44
Tadika Bir Ali,Tadika Bir Ali,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (City of Elmina is a smaller city, and Tadika Bir Ali has an Islamic name which suggests it may be a small center)",No address provided,2026-04-02 14:18:51
Tadika Brainy Bunch,Tadika Brainy Bunch,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:18:59
Tadika Qalifa,Tadika Qalifa,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:19:06
Tadika MRC,Tadika MRC,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,"RM 500 - RM 800 [Inferred] (City of Elmina is a smaller city, hence lower fees)",No address provided,2026-04-02 14:19:13
Tadika Generasi Genius  Garden -  East,Tadika Generasi Genius  Garden -  East,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred] (assuming lower end of medium scale centers in City of Elmina),No address provided,2026-04-02 14:19:20
The Sunnah Preschool,The Sunnah Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:19:31
Cleverland Playschool,Cleverland Playschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:19:39
Tasti Little Daie Child Care Centre,Tasti Little Daie Child Care Centre,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:19:46
Glenpark Kids Academy,Glenpark Kids Academy,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:19:53
Al Baghdadi Playtime Centre Alamesra,Al Baghdadi Playtime Centre Alamesra,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:00
Taska Glenpark Kids Academy,Taska Glenpark Kids Academy,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:07
Tadika Uiam Gombak,Tadika Uiam Gombak,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:14
Pusat Jagaan Manja,Pusat Jagaan Manja,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:22
Pusat Jagaan Nurul Jannah,Pusat Jagaan Nurul Jannah,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 150 - RM 300 per month,No address provided,2026-04-02 14:20:30
Tadika Caliphs Heroes,Tadika Caliphs Heroes,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:20:36
Taska Adik Genius,Taska Adik Genius,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 150 - RM 250 [Inferred],No address provided,2026-04-02 14:20:43
Kindergarten,Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:50
Madeleine Kindergarten,Madeleine Kindergarten,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:20:59
Kinderland Preschool,Kinderland Preschool,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:21:07
Taska Saujana Bistari,Taska Saujana Bistari,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:21:15
Al-Kauthar Eduqids Saujana Utama,Al-Kauthar Eduqids Saujana Utama,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Medium,RM 500 - RM 800 [Inferred],No address provided,2026-04-02 14:21:23
The Sunnah Preschool English,The Sunnah Preschool English,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Islamic,[Inferred] English,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:21:30
Tadika Cleverland,Tadika Cleverland,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Montessori,[Inferred] Islamic,[Inferred] Bahasa Malaysia,[Inferred] Small,[Inferred] RM 500 - RM 800 per month,No address provided,2026-04-02 14:21:38
Cleverland Playschool Saujana Utama,Cleverland Playschool Saujana Utama,[Inferred Landmark] Operates in Other vicinity,Other,[Inferred] Islamic,[Inferred] Muslim-centric,[Inferred] Bahasa Malaysia,[Inferred] Small,RM 500-RM 800 [Inferred] (Saujana Utama zone suggests a smaller center with moderate fees),No address provided,2026-04-02 14:21:49
